Region,Site,Station,Date 1,Date 2,Thickness at Date 1 (cm),Thickness at Date 2 (cm),Thickness at Date 3 (cm),Lat,Lon,water_lat,water_lon,Notes,
TTI,BW2,BW2 S11,12/19/2017,1/28/2018,3,3.5,3,25.92479,-81.60931,25.924941,-81.609406,,
TTI,BW2,BW2 S12,12/19/2017,1/28/2018,4,4.5,2,25.92474,-81.60926,25.924941,-81.609406,,
TTI,BW3,BW3 S1,12/19/2017,1/28/2018,6,1.75,3,25.92365,-81.61239,25.922184,-81.613476,,
TTI,BW3,BW3 S2,12/19/2017,1/28/2018,3,1.5,3,25.92359,-81.61248,25.922184,-81.613476,,
TTI,BW3,BW3 S3,12/19/2017,1/28/2018,3,3.5,1,25.92359,-81.6125,25.922184,-81.613476,,
TTI,BW3,BW3 S4,12/19/2017,1/28/2018,3,2,2,25.92354,-81.61254,25.922184,-81.613476,,
TTI,BW3,BW3 S5,12/19/2017,1/28/2018,2,2,2,25.92348,-81.61263,25.922184,-81.613476,,
TTI,BW3,BW3 S6,12/19/2017,1/28/2018,2,2,2.5,25.92343,-81.61269,25.922184,-81.613476,,
TTI,BW3,BW3 S7,12/19/2017,1/28/2018,3,3,2.5,25.92335,-81.61273,25.922184,-81.613476,,
TTI,BW3,BW3 S8,12/19/2017,1/28/2018,4,3,5.5,25.92328,-81.61279,25.922184,-81.613476,,
TTI,BW3,BW3 S9,12/19/2017,1/28/2018,7,2,2.5,25.92322,-81.61287,25.922184,-81.613476,,
TTI,BW3,BW3 S10,12/19/2017,,6,,5,,,,,,
TTI,UFU,UFU MUD 1,12/18/2017,1/27/2018,1,0.5,1,25.90215,-81.5109,25.902178,-81.511054,,
TTI,UFU,UFU MUD 2,12/18/2017,1/27/2018,1,1,0,25.90211,-81.51089,25.902178,-81.511054,,
TTI,UFU,UFU MUD 3,12/18/2017,1/27/2018,1,1,<0.1,25.90208,-81.51086,25.902178,-81.511054,,
TTI,UFU,UFU MUD 4,12/18/2017,1/27/2018,3,1,0,25.90208,-81.51088,25.902178,-81.511054,,
TTI,UFU,UFU MUD 5,12/18/2017,1/27/2018,4,1.5,0,25.90203,-81.51088,25.902178,-81.511054,,
TTI,UFU,UFU MUD 6,12/18/2017,1/27/2018,2,0,0,25.90197,-81.51082,25.902178,-81.511054,,
TTI,UFU,UFU MUD 7,12/18/2017,1/27/2018,2,3,<0.1,25.90196,-81.51085,25.902178,-81.511054,,
TTI,UFU,UFU MUD 8,12/18/2017,1/27/2018,1,1,1,25.90192,-81.51077,25.902178,-81.511054,,
TTI,UFU,UFU MUD 9,12/18/2017,1/27/2018,1,1.5,1.5,25.9019,-81.51076,25.902178,-81.511054,,
TTI,UFU,UFU MUD 10,12/18/2017,1/27/2018,2,2,2,25.90186,-81.5107,25.902178,-81.511054,,
TTI,UFU,UFU MUD 11,12/18/2017,1/27/2018,2,1,1.5,25.90181,-81.51065,25.902178,-81.511054,,
